60 cases across 4 families: ['gsm8k', 'hard_reasoning', 'humaneval', 'ifeval']

Q200v2-lite: 15/60 = 25.0%  (1133s)
  gsm8k           15/15 
  hard_reasoning   0/15 
  humaneval        0/15 
  ifeval           0/15 

sample failures:
  hard-00: "Alright, let's go step-by-step.\n\n---\n\n## Step 1: Understanding the problem\n\nWe want to prove or disp"
  hard-01: "Alright, let's go step-by-step.\n\n---\n\nWe have:\n\n- 4 red  \n- 5 blue  \n- 3 green  \nTotal = \\(4 + 5 + 3"
  hard-02: "Alright, let's go step-by-step.\n\nWe have the equation:\n\n\\[\nx^2 - y^2 = 105\n\\]\nwith \\(x, y \\geq 0\\) i"
  hard-03: 'Assume √2 is rational, so it can be written as a/b in lowest terms with integers a and b. Squaring g'
  hard-04: "Alright, let's go step-by-step.\n\nWe are given the 4×4 Hilbert matrix:\n\n\\[\nH_{ij} = \\frac{1}{i+j-1}, "
